max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-3,-1298,1298,56,-1291.9219073946094,1134.399193548387,-3738822,281331,14.548049926757812,3142
-12,-1298,1298,26,-1291.852736871353,1116.0,-4649378,332568,15.890830993652344,3897
-4,-1298,1298,61,-1291.220231077576,1170.075,-5476065,374424,12.7764310836792,4561
-3,-1298,1298,61,-1287.0364832535886,1153.8885135135135,-4303850,341551,14.950686931610107,3640
-9,-1298,1298,32,-1287.0626336694165,1105.71,-4212556,331713,14.927934885025024,3573
-1,-1298,1298,35,-1287.8030349953547,1072.4485981308412,-4158316,344256,17.96315312385559,3550
-6,-1298,1298,26,-1288.2321941038351,1150.1172638436483,-4937794,353086,14.066179990768433,4140
-33,-1298,1298,26,-1290.8498129342597,1127.9935483870968,-4830360,349678,14.18547797203064,4052
-57,-1298,1298,32,-1284.9163265306122,1109.367816091954,-3777654,289545,13.621740102767944,3201
-23,-1298,1298,32,-1287.2436974789916,1116.7460317460318,-3829550,281420,15.26732611656189,3227
-183,-1298,1298,3,-1280.061242344707,921.7578947368421,-1463110,87567,23.86031985282898,1238
-3,-1298,1298,26,-1283.9469309462916,1138.480701754386,-4016186,324467,14.48189401626587,3413
-15,-1298,1298,32,-1280.5029585798816,973.2978723404256,-1514835,91490,9.84917688369751,1277
-152,-1298,1298,61,-1288.9081312410842,1133.780564263323,-4517623,361676,16.65024709701538,3824
-2,-1298,1298,61,-1284.736675309709,1102.8625429553265,-4459321,320933,17.11200714111328,3762
-3,-1298,1298,26,-1287.8486398511975,1143.776,-5539037,428916,18.109145164489746,4676
-5,-1298,1298,41,-1284.2467532467533,1088.8259109311741,-3658819,268940,16.40249514579773,3096
-61,-1448,1298,61,-1286.8032008002,1130.2462462462463,-5145926,376372,16.236918926239014,4332
-1,-1298,1298,29,-1279.8110285006196,1074.607142857143,-4131230,330979,21.85025191307068,3536
-163,-1298,1298,90,-1289.565509518477,1055.9850746268658,-2303164,141502,12.328776121139526,1920
-19,-1298,1298,61,-1283.8293550025394,1082.85625,-2527860,173257,11.58552098274231,2129
-74,-1298,1298,61,-1289.4426732066217,1018.0393700787401,-2103081,129291,11.014672994613647,1758
-3,-1298,1298,6,-1279.4094030639196,1071.6307692307691,-2421922,139312,9.856297016143799,2023
-183,-1298,1298,38,-1289.1794717887155,996.5407407407407,-2147773,134533,12.657140016555786,1801
-5,-1298,1298,15,-1282.9762282091917,1066.9276315789473,-2428674,162173,10.253407955169678,2045
-35,-1298,1298,90,-1279.1182092555332,1086.9939759036145,-2542887,180441,10.579821109771729,2154
-3,-1298,1298,32,-1275.1561203319502,1043.5549132947976,-2458501,180535,12.940677165985107,2101
-1,-1298,1298,119,-1279.4093732354602,1054.7666666666667,-2265834,126572,10.833600044250488,1891
-18,-1298,1298,61,-1286.371212121212,1080.7151898734178,-2547015,170753,11.112665891647339,2138
-9,-1298,1298,61,-1279.525507677068,986.9948717948718,-2583362,192464,21.02385902404785,2214
-53,-1298,1298,90,-1280.5705705705707,1062.9550561797753,-2558580,189206,14.459863901138306,2176
-3,-1298,1298,32,-1283.0124013528748,1055.4473684210527,-2276064,160428,10.285288095474243,1926
-56,-1298,1298,61,-1285.2388888888888,1101.96644295302,-2544773,164193,9.195117950439453,2129
-50,-1298,1298,35,-1283.5769612711024,1102.7668711656443,-2585124,179751,8.841809034347534,2177
-3,-1298,1298,76,-1282.3239294710327,1084.5243902439024,-2545413,177862,10.979269981384277,2149
-141,-1298,1298,61,-1291.6156583629893,1067.0980392156862,-2540608,163266,12.169299840927124,2120
-41,-1298,1298,90,-1286.7980151780503,1079.295081967213,-2204285,131674,10.672528982162476,1835
-3,-1298,1298,61,-1283.9483682415976,1085.978021978022,-2635946,197648,10.71912693977356,2235
-3,-1298,1298,90,-1286.85153090699,1025.0567375886526,-2227540,144533,10.293811082839966,1872
-3,-1298,1298,61,-1283.6035767511178,1068.264705882353,-2583894,181605,11.374507188796997,2183
-3,-1298,1298,12,-1283.347001537673,1081.1847133757963,-2503810,169746,9.838624000549316,2108
-3,-1298,1298,119,-1284.5279761904762,1059.6776859504132,-2158007,128221,10.018813848495483,1801
-3,-1298,1298,61,-1290.4307213284899,1021.7597402597403,-2486660,157351,14.578211069107056,2081
-32,-1298,1298,61,-1289.5095190380762,1097.2784810126582,-2573861,173370,10.4410982131958,2154
-1,-1298,1298,61,-1282.6948640483383,1055.2450331125829,-2547432,159342,9.748672008514404,2137
-24,-1298,1298,61,-1284.942857142857,1074.30625,-2518488,171889,9.14057207107544,2120
-41,-1298,1298,26,-1286.5377252252251,1085.625,-2284891,147645,9.481322050094604,1912
-203,-1298,1298,90,-1289.1159838430467,1112.4748603351954,-2234038,199133,24.45725417137146,1912
-104,-1298,1298,119,-1290.5588998443177,1102.1712328767123,-2486907,160917,11.316765069961548,2073
-3,-1298,1298,209,-1285.4778530484627,1082.4313725490197,-2466832,165612,10.480501174926758,2072
-10,-1298,1298,32,-1267.3220640569396,958.1168831168832,-2136705,147550,17.67074704170227,1840
-10,-1298,1298,12,-1286.8657303370787,969.6204379562043,-2290621,132838,13.57037901878357,1917
-27,-1298,1298,61,-1287.8757091284167,1110.8375,-2497191,177734,16.459219932556152,2099
-3,-1298,1298,90,-1288.2244785949506,1092.8680555555557,-2347145,157373,11.097885131835938,1966
-9,-1298,1298,119,-1290.0025680534154,1094.8707482993198,-2511635,160946,12.080397129058838,2094
-3,-1298,1298,61,-1289.9664009111618,1042.6,-2265181,156390,12.941137790679932,1906
-30,-1298,1298,15,-1290.1576086956522,1055.6985294117646,-2373890,143575,9.859422206878662,1976
-90,-1298,1298,64,-1292.8148371531965,1100.4031007751937,-2143487,141952,21.666059017181396,1787
-9,-1298,1298,61,-1288.498135322323,1115.4697986577182,-2418511,166205,13.581966876983643,2026
-12,-1298,1298,41,-1284.9193631227529,1004.8682634730538,-2501738,167813,16.728991985321045,2114
-13,-1298,1298,32,-1280.3960345704118,972.9209039548023,-2518539,172207,21.59599995613098,2144
-32,-1298,1298,119,-1288.4017699115045,1001.1550387596899,-2183841,129149,11.148810863494873,1824
-300,-1298,1298,90,-1285.6136079900125,1029.9911504424779,-2059553,116389,15.350038051605225,1715
