max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-6,-1460,1460,12,-985.1851851851852,350.0437788018433,-851200,151919,10.762696981430054,1298
-6,-1460,1460,12,-1242.036,362.5595238095238,-2794581,182730,10.476984024047852,2754
-6,-1460,1460,24,-962.1739130434783,322.6828703703704,-863070,139399,6.593989133834839,1329
-6,-1460,1460,24,-988.5517647058823,313.6,-840269,122304,6.10828709602356,1240
-5,-1460,1460,24,-1064.4585987261146,408.7732342007435,-668480,109960,8.02466082572937,897
-6,-1460,1460,8,-1244.3452066842567,356.272365805169,-2829641,179205,10.453224182128906,2777
-6,-1460,1460,24,-984.9005847953216,356.3471615720524,-842090,163207,10.719956159591675,1313
-6,-1460,1460,24,-980.6435185185185,350.86695278969955,-847276,163504,10.613297939300537,1330
-6,-1460,1460,24,-1009.1025641025641,333.33709981167607,-983875,177002,17.694196939468384,1506
-6,-1460,1460,24,-981.7773892773893,300.86425339366514,-842365,132982,10.989248991012573,1300
-6,-1460,1460,21,-994.4491725768321,356.58222222222224,-841304,160462,10.560184955596924,1296
-6,-1460,1460,24,-809.8649093904448,330.90441176470586,-491588,135009,6.643841981887817,1015
-6,-1460,1460,23,-1317.7425692695215,361.916179337232,-5231438,185663,10.331282138824463,4483
-6,-1460,1460,24,-982.8997613365156,375.93095238095236,-823670,157891,10.938246965408325,1258
-6,-1460,1460,24,-951.5353748680042,328.37011494252874,-901104,142841,5.640223979949951,1382
-6,-1460,1460,24,-1068.8843843843845,400.05574912891984,-711877,114816,7.250772953033447,953
-6,-1460,1448,24,-1030.6567164179105,318.0,-759594,114798,6.021198034286499,1098
-6,-1460,1460,24,-1092.0646853146852,417.3135593220339,-624661,98486,6.47668194770813,808
-6,-1460,1460,24,-957.8698030634573,339.25198412698415,-875493,170983,15.97707200050354,1418
-6,-1460,1460,24,-976.4421534936998,362.9234234234234,-852434,161138,10.850255012512207,1317
-6,-1460,1460,24,-985.6157303370786,348.20250521920667,-877198,166789,15.490018844604492,1369
-6,-1460,1460,24,-1047.896265560166,399.5242165242165,-757629,140233,11.7322518825531,1074
-23,-1460,781,24,-1152.4957983193278,202.82758620689654,-137147,11764,5.8566811084747314,177
-24,-1460,617,24,-1082.0086206896551,119.35365853658537,-125513,9787,4.603807210922241,198
-24,-1460,781,24,-1199.3783783783783,146.8495575221239,-266262,16594,5.277013063430786,335
-24,-1460,781,24,-1103.3333333333333,133.57894736842104,-155570,15228,4.908766984939575,255
-24,-1460,781,24,-693.170731707317,92.8970588235294,-28420,6317,5.12023401260376,109
-24,-1460,781,24,-799.3333333333334,98.0989010989011,-40766,8927,4.773773908615112,142
-24,-1460,781,24,-775.8709677419355,93.71875,-24052,5998,4.903725862503052,95
-16,-1460,1440,24,-1314.900063251107,317.5952380952381,-2078857,40017,5.315589904785156,1707
-17,-1460,1440,24,-1337.6608527131782,354.7720588235294,-2070699,48249,5.440928936004639,1684
-24,-1460,781,24,-1093.080808080808,116.06666666666666,-108215,12187,5.371834993362427,204
-24,-1460,781,24,-941.0140845070423,127.13888888888889,-66812,13731,5.1260950565338135,179
-24,-1460,781,24,-784.96875,185.03333333333333,-25119,5551,4.266924142837524,62
-24,-1460,617,24,-1393.3572953736655,173.08602150537635,-1957667,16097,5.14001989364624,1498
-24,-1460,617,24,-800.5744680851063,89.19318181818181,-37627,7849,5.013370037078857,135
-24,-1460,781,24,-970.7796610169491,120.65116279069767,-57276,10376,3.5722908973693848,145
-24,-1460,781,24,-948.2876712328767,143.35106382978722,-69225,13475,4.978816986083984,167
